province,day,type,ACC,POD,FAR,F1,CSI
Busan,1,Model_Pred,97.2376,33.3333,0.0000,50.0000,0.3333
Busan,1,Baseline_Forecast,97.5138,40.0000,0.0000,57.1429,0.4000
Busan,2,Model_Pred,97.2376,44.4444,0.0000,61.5385,0.4444
Busan,2,Baseline_Forecast,96.9613,38.8889,0.0000,56.0000,0.3889
Busan,3,Model_Pred,96.1326,35.0000,12.5000,50.0000,0.3333
Busan,3,Baseline_Forecast,96.1326,35.0000,12.5000,50.0000,0.3333
Chungcheongbuk-do,1,Model_Pred,91.1602,50.0000,25.0000,60.0000,0.4286
Chungcheongbuk-do,1,Baseline_Forecast,91.4365,54.1667,25.7143,62.6506,0.4561
Chungcheongbuk-do,2,Model_Pred,90.3315,44.0678,7.1429,59.7701,0.4262
Chungcheongbuk-do,2,Baseline_Forecast,91.7127,54.2373,8.5714,68.0851,0.5161
Chungcheongbuk-do,3,Model_Pred,90.3315,45.9016,6.6667,61.5385,0.4444
Chungcheongbuk-do,3,Baseline_Forecast,90.8840,50.8197,8.8235,65.2632,0.4844
Chungcheongnam-do,1,Model_Pred,92.8177,71.0145,10.9091,79.0323,0.6533
Chungcheongnam-do,1,Baseline_Forecast,91.7127,66.6667,13.2075,75.4098,0.6053
Chungcheongnam-do,2,Model_Pred,89.7790,59.3023,3.7736,73.3813,0.5795
Chungcheongnam-do,2,Baseline_Forecast,89.2265,58.1395,5.6604,71.9424,0.5618
Chungcheongnam-do,3,Model_Pred,87.2928,56.1224,5.1724,70.5128,0.5446
Chungcheongnam-do,3,Baseline_Forecast,87.5691,57.1429,5.0847,71.3376,0.5545
Daejeon,1,Model_Pred,96.4088,70.0000,58.8235,51.8519,0.3500
Daejeon,1,Baseline_Forecast,95.0276,80.0000,66.6667,47.0588,0.3077
Daejeon,2,Model_Pred,94.4751,42.8571,66.6667,37.5000,0.2308
Daejeon,2,Baseline_Forecast,94.1989,64.2857,64.0000,46.1538,0.3000
Daejeon,3,Model_Pred,96.6851,60.0000,40.0000,60.0000,0.4286
Daejeon,3,Baseline_Forecast,96.1326,66.6667,47.3684,58.8235,0.4167
Gangwon-do,1,Model_Pred,93.3702,71.4286,11.7647,78.9474,0.6522
Gangwon-do,1,Baseline_Forecast,93.9227,73.0159,9.8039,80.7018,0.6765
Gangwon-do,2,Model_Pred,91.4365,64.0000,7.6923,75.5906,0.6076
Gangwon-do,2,Baseline_Forecast,91.1602,62.6667,7.8431,74.6032,0.5949
Gangwon-do,3,Model_Pred,91.1602,64.2857,3.5714,77.1429,0.6279
